ra,dec,z,z_err,vz,vz_err,r_proj_arcmin,r_proj
65.74937531142848,-15.23294468912708,0.031181362684783,2.664532153778265e-06,-331.7800141547705,0.7741232288722444,194.74739062143175,7.603032014529641
65.83813377546824,-15.34052949326724,0.0308929622104605,1.255624594389155e-05,-415.5330809743609,3.647950593809282,194.72406886944796,7.60212152208914
65.88752543091351,-15.32036644359835,0.0297120869255047,9.77391692548336e-06,-758.4656884149109,2.8396039876476933,191.7525398796418,7.486111597799492
65.60696852490986,-14.9813111947934,0.0307831597399038,4.830465738991352e-06,-447.4203158171436,1.4033892327110262,192.96792186036376,7.533560696243507
65.54808592645566,-14.87757090699383,0.0298933981499563,4.707209564424792e-06,-705.8119223893536,1.3675797688625198,192.69115841231812,7.52275571780848
65.49334784756104,-14.79244143961078,0.0307966521958205,1.216423043880489e-05,-443.5020332116574,3.534058814295436,192.98986555940715,7.534417388832875
65.72010704125245,-14.67603955514771,0.030392308911316,4.038508115856299e-06,-560.9255229084494,1.1733027646299534,178.0931567105152,6.952842693901951
66.19476190523,-14.52935723122038,0.0309170975652342,5.076612211978628e-06,-408.52404263687214,1.4749018628642152,149.744414446672,5.846094129436567
66.32704378619115,-14.46720768165438,0.0305164471530359,1.583859089146658e-05,-524.8751021244434,4.601566209025735,141.2307396600649,5.513716161458062
65.17050403463656,-13.9649913878337,0.0303411906600035,4.024285061867333e-06,-575.7705412043937,1.1691705583577376,193.46749922470423,7.553064437385786
65.15495763940413,-13.75572404262145,0.030720513028367,2.417182628341955e-05,-465.6132616841529,7.022610773799986,192.0891007941974,7.499251098154492
65.81959286025386,-14.15489679115833,0.0304682307539929,4.49224448531882e-06,-538.8774067334598,1.3051262304819349,160.1539928356329,6.252489088036416
65.82860276304211,-14.11712271865309,0.0301506423929935,1.166797823657118e-05,-631.106794644115,3.3898832761682685,158.92198210716018,6.204390795263752
66.19866361869083,-14.06995800660175,0.0313551863723953,1.151101039214291e-06,-281.3006695641602,0.3344279602598172,137.67647186162984,5.374955833150281
66.28371622834516,-14.12715704079677,0.0315729458195924,1.893169928587679e-06,-218.06214135251398,0.5500203162660311,134.32912814144436,5.244273920612223
65.65532665703165,-13.71870505542338,0.0322059764778126,3.682934622118068e-06,-34.22659412841703,1.0699984375706184,162.9362319529896,6.361109044451955
66.15524090891847,-13.99056721750515,0.0314070447228154,5.907694329000339e-06,-266.2407224607745,1.71635512173165,138.48505769296972,5.406523413812364
66.02203127948769,-13.88783603584322,0.0310665359013432,3.183944631706969e-06,-365.1263367941634,0.9250274932327048,144.1663628804107,5.62832430719837
66.12617665157973,-13.84618332332125,0.0315134030281075,5.157972330501931e-06,-235.35369194921427,1.498539317403234,137.6636413322285,5.374454923097055
