ra,dec,z,z_err,vz,vz_err,r_proj_arcmin,r_proj
200.7054746,-33.4402666,0.048687,0.000103,151.67393931467927,29.48473282442748,133.19941652082224,7.517416909579203
200.732071,-31.73798,0.04808,7e-05,-21.939434444283123,20.03816793893129,65.78500762277822,3.7127289414436926
201.986968,-31.4955525,0.046902,7e-05,-358.8695074064846,20.03816793893129,0.4380577995209728,0.0247228043148164
202.367224,-30.1349578,0.047353,9.7e-05,-229.87505672231393,27.767175572519083,84.32790618619694,4.759240276509977
202.4621504,-29.5144091,0.045815,1e-05,-669.7718752417246,2.8625954198473287,121.76045095399998,6.87183245113166
202.8312079,-31.2289799,0.052403,8e-05,1214.5195684552066,22.90076335877863,46.13447077440888,2.603705479894605
202.880292,-32.936638,0.05164,0.00011,996.2872716214547,31.488549618320608,97.20183479601944,5.485810190643695
203.045501,-30.7985329,0.0525,0.00015,1242.2633860081214,42.93893129770992,68.72891914930057,3.8788753921402286
203.3947472,-31.6723026,0.0489,4.7e-05,212.5959304360276,13.454198473282442,72.53632274827183,4.093755013568789
203.5520654,-32.977341,0.0506,0.00011,698.8277844561832,31.488549618320608,118.81595763527,6.705653165647299
203.7836715,-30.1173732,0.046189,0.00015,-562.8008673572905,42.93893129770992,124.31133544586535,7.015797512799436
202.86467,-31.82056,0.043884,0.00015,-1222.0740576610901,42.93893129770992,48.593505740635976,2.74248680130882
202.8896789,-31.8128738,0.04397,0.000107,-1197.4764462224227,30.629770992366414,49.59737716138878,2.7991426049941963
202.4783924,-29.4969414,0.049067,0.000117,260.36105962506656,33.49236641221374,122.9575969116936,6.939396149987604
202.4717148,-29.4917519,0.047146,0.000117,-289.08093541770904,33.49236641221374,123.19217672992156,6.952635204168575
200.7526868,-29.3094169,0.046979,0.00015,-336.846064606748,42.93893129770992,146.3232507644063,8.258090825713145
200.8014698,-30.3970752,0.049247,0.00015,311.84443240367114,42.93893129770992,90.20319564889029,5.090825815765091
201.6193781,-30.7455595,0.047616,0.000113,-154.65212871801947,32.347328244274806,49.23655363322105,2.7787786952799367
201.873534,-30.5587312,0.047199,3.3e-05,-273.92194232178724,9.446564885496183,56.9396706343716,3.213521905974586
202.124301,-32.24313,0.049828,0.00015,478.02131898350024,42.93893129770992,44.96469512793417,2.5376864878080427
202.2180583,-32.1626583,0.042036,0.00015,-1750.636684854766,42.93893129770992,41.285996990715205,2.3300706565656863
202.7871365,-29.5289298,0.046065,0.00015,-598.2671908269958,42.93893129770992,125.38344517709844,7.076304503242868
203.6634281,-33.4579201,0.04583,6e-05,-665.4815941768406,17.175572519083968,144.7101254071995,8.16705036807239
203.7165647,-29.9784308,0.045595,0.00015,-732.6959975266873,42.93893129770992,127.64153660736918,7.203745111803188
204.1209863,-33.0929887,0.052223,0.00015,1163.0361956766021,42.93893129770992,144.1866207996901,8.13750517567195
204.3025184,-32.4599881,0.045521,0.000147,-753.8613841134463,42.08015267175573,130.97829923594497,7.392063022365406
204.48438,-31.9720738,0.051569,0.00015,975.9799412476711,42.93893129770992,130.38097141126235,7.358351446090373
200.227546,-31.7425977,0.053914,0.00015,1646.693881057827,42.93893129770992,91.16974588108891,5.14537531192112
200.4924618,-31.0737791,0.045318,0.00015,-811.9231878582066,42.93893129770992,80.95854082167921,4.569082355196437
204.4533226,-30.6899622,0.050728,0.000103,735.4381828765253,29.48473282442748,135.6406575498601,7.655193989024434
201.87337,-31.38992,0.047636,5e-05,-148.9317539648414,14.31297709923664,9.001364462254124,0.5080128065520203
202.1613445,-31.3470499,0.052493,0.000103,1240.261254844509,29.48473282442748,12.818499949654097,0.7234416695954985
202.3577339,-30.41308,0.048457,0.00015,85.88962965312852,42.93893129770992,68.05415198815271,3.8407933479411183
200.870934,-31.844387,0.04772,4.7e-05,-124.90618000149232,13.454198473282442,60.69391502503409,3.4254013646255723
200.99012,-31.64592,0.050215,4.7e-05,588.710570457502,13.454198473282442,51.81058957224766,2.9240503623737517
201.09479,-31.70664,0.047933,7.7e-05,-63.98418888014203,22.041984732824428,47.33766057098694,2.671610276765957
201.108059,-31.688187,0.046302,5e-05,-530.4807500018327,14.31297709923664,46.40917343909854,2.619208959643871
202.336484,-31.5402454,0.05103,9e-05,821.8158416495165,25.76335877862596,17.885927489174954,1.009433654160284
202.4662,-29.60012,0.050185,8.3e-05,580.1300083277338,23.759541984732824,116.76862045142362,6.590106960059748
202.6367198,-33.0644141,0.04635,2e-05,-516.7518505942049,5.725190839694657,99.2965838440568,5.604032194360801
202.8290528,-29.3484732,0.047159,0.000113,-285.36269182814334,32.347328244274806,136.34216805905768,7.694785355877495
203.0131953,-31.7801366,0.0437199995,7.9999998e-05,-1268.9812736465203,22.90076278625954,54.875411739782265,3.0970206845333554
203.6699859,-31.4454112,0.047219,0.000117,-268.20156756860916,33.49236641221374,86.05715631697636,4.856834504124188
201.0703137,-31.1691717,0.047506,0.00015,-186.11418986049983,42.93893129770992,51.180711666227445,2.888501747031683
201.0771027,-31.1673121,0.04544,0.00012,-777.0289018638179,34.351145038167935,50.90503857589595,2.8729434990685623
201.9522433,-31.479357,0.052463,8e-05,1231.680692714743,22.90076335877863,2.362456764618811,0.1333307074038044
202.3672708,-31.5512418,0.051432,0.0001,936.7953741884004,28.62595419847328,19.535613665421163,1.102537506119528
202.7580697,-31.7297072,0.043924,0.000117,-1210.633308154734,33.49236641221374,41.56388034935116,2.3457536461287374
202.7653524,-31.7660061,0.051069,9e-05,832.9705724182155,25.76335877862596,42.66644927868717,2.4079796718116016
203.2762912,-30.8781172,0.04775,0.00015,-116.32561787172422,42.93893129770992,75.92693145847062,4.285111852191505
203.3818098,-31.6829253,0.050185,0.00015,580.1300083277338,42.93893129770992,71.97079867266007,4.061838355374467
203.404633,-31.641104,0.050395,8e-05,640.1939432361065,22.90076335877863,72.81113261933154,4.1092645437573125
203.4172334,-31.6640935,0.047419,0.000103,-210.99782003682452,29.48473282442748,73.61105901974709,4.154410238881004
203.5299096,-31.4894098,0.049935,8.7e-05,508.625323913005,24.904580152671755,78.80646466436846,4.44762496357835
203.62698,-31.6136802,0.04835,0.00015,55.28562472362377,42.93893129770992,83.97822972619866,4.739505477349938
200.999237,-31.472633,0.050635,6.7e-05,708.8384402742454,19.1793893129771,50.703636899635256,2.8615769300077805
201.0247526,-30.8582198,0.04825,0.00015,26.68375095773343,42.93893129770992,62.827586779161805,3.545820061215462
201.0392004,-31.2899021,0.05249,0.00011,1239.4031986315335,31.488549618320608,50.31829582668308,2.839829315990918
201.077491,-31.644789,0.047559,7.7e-05,-170.95519676457806,22.041984732824428,47.400268997452514,2.675143728008373
201.1106113,-31.8647961,0.049678,8e-05,435.1185083346637,22.90076335877863,49.86621664912265,2.814315182801527
201.1352,-31.116358,0.051806,0.00015,1043.7663820728344,42.93893129770992,49.54868553257024,2.796394580390213
201.25039,-31.763941,0.047493,7e-05,-189.83243345006545,20.03816793893129,40.89113701601053,2.3077858213292126
201.254263,-31.532991,0.04894,0.00014,224.03667994238373,40.07633587786259,37.65592562371044,2.125199189482082
201.2571727,-32.1976911,0.04801,0.000107,-41.960746080407354,30.629770992366414,55.97539333495556,3.159100688033137
201.28654166667,-31.00986111111,0.051125,0.00015,848.9876217271129,42.93893129770992,46.62677474001568,2.631489791961219
201.3910985,-31.5115091,0.046719,0.000127,-411.2109363980668,36.35496183206107,30.620824378926088,1.7281569918544648
201.3981868,-32.3334641,0.045928,0.000183,-637.4517578862686,52.3854961832061,58.24915710709117,3.2874258014270747
201.4216561,-31.1104272,0.04735,9e-05,-230.73311293528954,25.76335877862596,37.43093806154745,2.112501496440877
201.4236727,-31.3330233,0.05028,0.00011,607.3017884053302,31.488549618320608,30.709699564169437,1.733172868333818
201.4259435,-32.0620434,0.046452,0.000183,-487.5779393529961,52.3854961832061,44.19923374415173,2.4944859055504134
201.430518,-32.093281,0.04667,0.00011,-425.22585454335183,31.488549618320608,45.48951509801167,2.5673059157349565
201.4596248,-32.1482908,0.046209,0.000137,-557.0804926041126,39.2175572519084,47.23677785025839,2.665916727270787
201.4592074,-31.3863275,0.05107,0.0001,833.2565911558727,28.62595419847328,28.030609108210943,1.581972206784627
201.4632659,-31.9939511,0.04979,9e-05,467.1526069524625,25.76335877862596,39.88295168066168,2.2508865519036867
201.4684591,-31.779368,0.047746,8e-05,-117.46969282236101,22.90076335877863,31.37843924519189,1.770914737761894
201.5781646,-30.9603128,0.04837,0.0001,61.00599947680382,28.62595419847328,38.77946863678262,2.188608936053968
201.5874213,-31.4660102,0.045588,8e-05,-734.6981286902998,22.90076335877863,20.69441472394392,1.167937121971565
201.590785,-31.569818,0.04546,0.0001,-771.3085271106397,28.62595419847328,20.790944629902768,1.173385010305383
201.6074524,-31.4557949,0.045862,1.7e-05,-656.328994571756,4.866412213740458,19.75418750424566,1.1148732258613183
201.6468842,-31.3469172,0.045678,0.00015,-708.9564423009955,42.93893129770992,19.87547828264257,1.121718551256227
201.6494937,-31.7285769,0.048554,0.000107,113.63344720604323,30.629770992366414,22.04505070044289,1.244163384770788
201.6627617,-31.2097776,0.041729,0.000103,-1838.4444373160513,29.48473282442748,24.26736162208269,1.3695846376339047
201.6662527,-31.1042353,0.04818,9e-05,6.662439321609199,25.76335877862596,29.08255729669812,1.6413413339676912
201.6758005,-31.4828572,0.043917,7.3e-05,-1212.6354393183465,20.896946564885493,16.097935578299186,0.908524198427742
201.7269737,-31.9703526,0.04891,8e-05,215.4561178126176,22.90076335877863,31.106053739380272,1.755542032229115
201.7334334,-31.4242991,0.043677,6.7e-05,-1281.2799363564852,19.1793893129771,13.924534704940458,0.7858632971757682
201.7401727,-31.9350466,0.04904,0.0001,252.63855370827605,28.62595419847328,28.90688158331588,1.6314266690774315
201.7641423,-31.2254735,0.053677,0.00015,1578.9074402326657,42.93893129770992,20.240991165795304,1.1423471155566711
201.7776645,-31.861044,0.05168,8e-05,1007.7280211278107,22.90076335877863,24.080907575865112,1.359061672620192
201.7896843,-31.6389269,0.049888,9.3e-05,495.1824432430364,26.62213740458015,13.093697256875291,0.7389730656392033
201.8068293,-31.3986411,0.046989,8.7e-05,-333.98587723015794,24.904580152671755,11.240626138822709,0.6343907144445665
201.8154939,-32.285711,0.043427,0.00014,-1352.7846207712141,40.07633587786259,47.8222834159704,2.6989610870382945
201.8516111,-32.3004473,0.047326,0.000183,-237.59756263910444,52.3854961832061,48.39001983990464,2.7310026042231703
201.8527025,-31.6788329,0.049958,5.7e-05,515.2037548791607,16.316793893129773,12.684202315149822,0.7158622722159229
201.916648,-30.944237,0.04386,9e-05,-1228.9385073649032,25.76335877862596,33.70427114626304,1.902178436347374
201.9396002,-31.797403,0.04447,8e-05,-1054.467077392965,22.90076335877863,17.877524019635665,1.0089593849355092
201.9495272,-31.2332814,0.0514619984,2.7e-05,945.375478688188,7.729007633587786,16.28305105589635,0.9189716182277848
201.9848174,-32.3510779,0.046786,0.00015,-392.04768097491825,42.93893129770992,50.91525646721624,2.873520169379872
201.9871762,-31.0146152,0.045435,0.00015,-778.4589955521118,42.93893129770992,29.273351969654644,1.6521092722830726
202.0044064,-31.7495863,0.044834,8e-05,-950.3562568851211,22.90076335877863,14.844464146447484,0.8377816412634363
202.0096384,-31.5790048,0.049941,7e-05,510.3414363389582,20.03816793893129,4.703267393417179,0.2654397651060262
202.0109697,-31.7557443,0.042886,6e-05,-1507.520757844687,17.175572519083968,15.233827362937705,0.8597562542464758
202.0444654,-32.3463538,0.04758,0.00015,-164.94880327374077,42.93893129770992,50.70825796688445,2.861837730617774
202.043687,-31.386066,0.044101,7.3e-05,-1160.0079915891051,20.896946564885493,7.5146647182001,0.4241074705727769
202.053963,-31.440121,0.049501,5.3e-05,384.49319176903674,15.17175572519084,4.9856476833107015,0.2813765493774919
202.0712998,-31.5607722,0.042886,8e-05,-1507.520757844687,22.90076335877863,5.448103403559038,0.307476306734785
202.1150037,-31.8051083,0.050735,8e-05,737.4403140401377,22.90076335877863,19.253068985873558,1.0865914441380118
202.1218818,-31.1320182,0.05379,9e-05,1611.2275575881217,25.76335877862596,23.24003962253458,1.3116053463373964
202.1451794,-31.4402305,0.045078,6.7e-05,-880.5676848963454,19.1793893129771,8.794686767649841,0.4963484732025706
202.1796623,-31.6444759,0.053921,6.7e-05,1648.6960122214393,19.1793893129771,12.921269033266793,0.7292416803396242
202.1846978,-31.2372667,0.043714,9e-05,-1270.6972430631047,25.76335877862596,18.79228840722987,1.0605862272686104
202.1849115,-31.2234076,0.044791,9e-05,-962.6550626044548,25.76335877862596,19.507477971256296,1.1009496031947084
202.1969143,-31.6929622,0.047096,7.7e-05,-303.3818723006552,22.041984732824428,15.583386138676577,0.8794844116233543
202.2054465,-31.5759071,0.052236,7e-05,1166.754439266168,20.03816793893129,11.88403976851504,0.6707032496345893
202.212237,-32.131371,0.049808,0.00015,472.3009442303222,42.93893129770992,39.40260381551147,2.223777009998178
202.2239096,-30.8733793,0.051569,0.00015,975.9799412476711,42.93893129770992,39.61683425348178,2.235867599874694
202.2260792,-31.4881842,0.05317,5.3e-05,1433.8959402395958,15.17175572519084,12.128952793436632,0.6845254822164714
202.226198,-31.215374,0.048827,3.3e-05,191.71656258692772,9.446564885496183,21.065039895637412,1.1888542100908577
202.237627,-31.819107,0.051809,0.00011,1044.6244382858122,31.488549618320608,22.832229576459763,1.288589643894136
202.2558384,-32.0281563,0.04672,6e-05,-410.92491766040763,17.175572519083968,34.339301122183414,1.938017820661248
202.3120546,-32.1863131,0.045655,0.00015,-715.5348732671512,42.93893129770992,44.19807718487424,2.4944206324546543
202.3124975,-31.2791114,0.045274999,2.99999992e-05,-824.2222795962759,8.58778603053435,21.287543368516683,1.2014117078123376
202.3132439,-31.1290745,0.04902,0.0001,246.91817895509797,28.62595419847328,27.878697479516568,1.573398722935091
202.3208277,-32.0427537,0.046145,9.7e-05,-575.3856918142834,27.767175572519083,36.55405780055057,2.0630127323466003
202.3352009,-30.77721,0.047423,0.00015,-209.85374508618972,42.93893129770992,46.99735855439594,2.652404545984959
202.346931,-31.400286,0.050158,6.7e-05,572.4075024109434,19.1793893129771,19.290793372634894,1.0887205070900172
202.347616,-31.6643427,0.049184,7.7e-05,293.8252519311593,22.041984732824428,20.71602763419064,1.169156896511107
202.4512535,-31.266289,0.05387,0.0001,1634.1090566008359,28.62595419847328,27.56853426868692,1.5558939453112666
202.4593648,-31.7059184,0.047113,0.000153,-298.5195537604527,43.79770992366412,26.930112723766168,1.5198631499625743
202.4756777,-32.0163338,0.04698,7e-05,-336.56004586908875,20.03816793893129,39.56522832532951,2.232955100052552
202.5334311,-32.3779983,0.04876,0.000103,172.55330716377912,29.48473282442748,59.38077512569648,3.351291279598432
202.5342206,-31.7033014,0.0441,5e-05,-1160.2940103267642,14.31297709923664,30.327043539665542,1.7115767912315716
202.5792099,-32.0318209,0.04312,0.00013,-1440.5923732325016,37.21374045801527,43.74082083862535,2.4686143137853347
202.5855624,-32.0970455,0.042596,0.0001,-1590.4661917657722,28.62595419847328,46.86251234059117,2.6447941882647337
202.5885,-31.92855555556,0.047386,8e-05,-220.4364383795702,22.90076335877863,39.848094582441966,2.248919311007141
202.5918458,-30.7310688,0.050832,0.00015,765.1841315930524,42.93893129770992,55.671861098300816,3.1419701447617703
202.5928028,-30.7034981,0.050211,0.00015,587.5664955068651,42.93893129770992,57.083702637993525,3.221650684972494
202.603186,-30.693567,0.050785,0.00015,751.7412509230818,42.93893129770992,57.874721705626094,3.2662936741847712
202.642525,-31.528448,0.051032,7.7e-05,822.387879124835,22.041984732824428,33.433294504353135,1.8868852433049248
202.6520453,-32.3102201,0.043497,8.7e-05,-1332.7633091350897,24.904580152671755,59.05190324107858,3.3327306347316035
202.6687672,-31.6720907,0.044894,5e-05,-933.1951326255848,14.31297709923664,36.173205604710105,2.041518458483817
202.68705,-31.857374,0.050872,8.3e-05,776.6248810994085,23.759541984732824,41.49144918513653,2.341665825980048
202.6932582,-31.6901029,0.045008,2.99999992e-05,-900.5889965324697,8.58778603053435,37.68131257388309,2.126631960687057
202.6982706,-32.0434794,0.044814,9.3e-05,-956.0766316382992,26.62213740458015,48.58228051133374,2.741853279550432
202.698809,-31.851664,0.04882,7.7e-05,189.71443142331532,22.041984732824428,41.83625423450021,2.3611256958225675
202.7210521,-31.6093951,0.050235,0.00015,594.43094521068,42.93893129770992,37.94342952835451,2.1414251367932216
202.7241242,-31.5061837,0.048063,8e-05,-26.801752984483592,22.90076335877863,37.5759247252879,2.120684153888896
202.7405195,-31.8224317,0.052229,6.7e-05,1164.7523081025554,19.1793893129771,42.884844710374544,2.4203053227342908
202.7428635,-32.1983456,0.043874,0.00015,-1224.9342450376782,42.93893129770992,56.71788286287692,3.2010048005148084
202.786704,-31.777029,0.045441,0.0001,-776.7428831261587,28.62595419847328,43.92286922826508,2.4788886353881283
202.807587,-31.274401,0.043714,8.7e-05,-1270.6972430631047,24.904580152671755,44.0752826290453,2.487490437904978
202.8072749,-30.995989,0.049905,0.00015,500.04476178323694,42.93893129770992,51.79529928666406,2.9231874197693406
202.8125519,-31.1980754,0.052059,0.000117,1116.1291227005408,33.49236641221374,45.953954252237054,2.593517612772674
202.8132768,-31.6230997,0.047276,0.00016,-251.89849952205057,45.80152671755726,42.72673340358757,2.411381945723474
202.8157745,-31.7216852,0.04382,9.7e-05,-1240.379256871261,27.767175572519083,44.21590956710436,2.4954270441583715
202.820427,-31.593733,0.048163,0.00015,1.8001207814067497,42.93893129770992,42.83301051423325,2.4173799400806355
202.82241,-31.409748,0.046008,0.00015,-614.5702588735544,42.93893129770992,42.986859213542296,2.426062746987089
202.8253967,-31.8665152,0.049621,0.00015,418.8154402881052,42.93893129770992,47.937720946669,2.7054760708718617
202.8523907,-31.4694371,0.04806,0.00015,-27.659809197461193,42.93893129770992,44.19005798069969,2.493968050133818
202.8758593,-30.9169776,0.0479,0.000183,-73.42280722288773,52.3854961832061,57.46802277275491,3.2433406799830604
202.8851514,-30.9201977,0.047309,0.000113,-242.45988117930688,32.347328244274806,57.72835922403301,3.258033369276576
202.88906,-31.94311,0.044844,3.3e-05,-947.496069508531,9.446564885496183,52.9728546377684,2.989645477466414
202.90650833333,-31.55159944444,0.047406,7.7e-05,-214.71606362639216,22.041984732824428,46.98630117423605,2.651780497180836
202.932736,-30.9289623,0.044104,0.00015,-1159.1499353761294,42.93893129770992,59.3823796236008,3.35138183314583
202.9489938,-31.4272934,0.047413,0.000107,-212.71393246277972,30.629770992366414,49.30623178113915,2.782711142591414
203.0228752,-31.8746924,0.044134,3e-05,-1150.5693732463615,8.587786259541984,57.28542500378453,3.233035352888067
203.038117,-31.057474,0.052466,0.000127,1232.5387489277184,36.35496183206107,60.0311152943931,3.387994730025141
203.0600786,-31.3826487,0.049221,0.00015,304.4079452245398,42.93893129770992,55.267182696259546,3.1191311838871107
203.1188355,-31.0638465,0.046205,0.000103,-558.2245675547474,29.48473282442748,63.60382469560595,3.5896288419995845
203.1204496,-31.6144673,0.050585,0.00015,694.5375033912992,42.93893129770992,58.20497251153248,3.2849321416613515
203.1275433,-31.4984748,0.051883,0.000127,1065.789824872571,36.35496183206107,58.21530598556896,3.285515335150374
203.144601,-31.848339,0.052226,0.00015,1163.89425188958,42.93893129770992,62.52034588514509,3.5284802112947653
203.163602,-31.831255,0.04343,0.00015,-1351.9265645582364,42.93893129770992,63.113777131295286,3.5619718751549043
203.1789023,-31.9204414,0.04831,0.000133,43.844875217267635,38.07251908396947,65.67975164522089,3.706788577092321
203.2896987,-31.6033437,0.047793,0.00015,-104.02681215239049,42.93893129770992,66.74770598795166,3.767061048582072
203.298818,-31.669233,0.04807,0.00014,-24.799621820871167,40.07633587786259,67.65914928616802,3.8185004575607375
203.3217939,-31.4924148,0.048273,0.000123,33.2621819238891,35.209923664122144,68.1570417792039,3.846600171088503
203.3325871,-31.6614153,0.04753,1e-05,-179.24974015668494,2.8625954198473287,69.30336327881807,3.911295474191927
203.4067519,-31.5547114,0.048363,0.000113,59.0038683131914,32.347328244274806,72.54420814052118,4.094200043904372
203.4254947,-31.5434305,0.051239,0.000103,881.59375782023,29.48473282442748,73.4805622395002,4.147045351495629
203.425728,-31.5373503,0.05063,0.00015,707.4083465859513,42.93893129770992,73.48359200605529,4.147216343373282
203.449522,-31.555967,0.044077,8.3e-05,-1166.87244129292,23.759541984732824,74.7322550216296,4.217687526452205
203.4585662,-31.7212371,0.053971,9.3e-05,1662.9969491043855,26.62213740458015,76.19801148292983,4.300410879867052
203.682789,-31.798574,0.046699,0.00015,-416.93131115124487,42.93893129770992,88.28572616432947,4.982608993924988
203.708821,-31.746565,0.047967,8e-05,-54.25955179973911,22.90076335877863,89.04657422439178,5.025549212596583
203.7627265,-31.6551697,0.050718,0.00015,732.5779954999352,42.93893129770992,91.094443400342,5.141125442388007
203.7977455,-31.4299293,0.04888,0.00011,206.8755556828495,31.488549618320608,92.636587161406,5.228159889604316
203.8264057,-31.4261827,0.049357,0.000127,343.3064935461515,36.35496183206107,94.11422726858292,5.311553924038601
203.8286431,-31.5464132,0.04803,6e-05,-36.24037132722731,17.175572519083968,94.09369053938865,5.310394886263923
203.9104405,-31.8699828,0.048047,0.000107,-31.37805278702684,30.629770992366414,100.51734406242248,5.672928618592879
203.9271443,-31.8985077,0.047983,0.000133,-49.68325199719785,38.07251908396947,101.720760310484,5.740846195777055
204.0585113,-31.7925102,0.04826,0.00015,29.54393833432147,42.93893129770992,107.09611092488323,6.044216530716058
200.736382,-31.622643,0.049364,7e-05,345.3086247097639,20.03816793893129,64.47357227349792,3.6387150566384343
200.882962,-31.4699471,0.044788,7e-05,-963.5131188174304,20.03816793893129,56.65561611912575,3.1974906329260464
200.951703,-31.8441321,0.048257,5e-05,28.685882121345852,14.31297709923664,56.82399253029206,3.2069933448262744
202.961766,-31.811405,0.044838,0.000107,-949.2121819344842,30.629770992366414,52.99709803054792,2.9910137093670235
199.7295195,-31.8175513,0.052129,0.000137,1136.150434336665,39.2175572519084,116.95908708424012,6.6008563846716894
199.227121,-31.855534,0.050822,0.00015,762.3239442164623,42.93893129770992,142.63015443817653,8.049662399398194
199.5939012,-31.9835161,0.047216,0.00015,-269.05962378158483,42.93893129770992,125.59818257394512,7.0884237045152085
202.978303,-31.772041,0.049464,9.7e-05,373.9104984756562,27.767175572519083,53.03191377575485,2.9929786164107206
