ra,dec,z,z_err,vz,vz_err,r_proj_arcmin,r_proj
10.53861164719,-28.53513588368,0.108188,7.7e-05,190.11234952382642,20.844612885760693,0.1281997795759922,0.0152061616797848
10.51,-28.52633333333,0.104479,0.000117,-813.9008264232016,31.672983216025987,1.49820950394554,0.1777071382067531
10.549029,-28.568359,0.107468,0.000147,-4.78910280345094,39.79426096372496,2.065518488353285,0.2449973641948967
9.90945282759,-28.905441244650003,0.1116,0.000213,1113.7286763858524,57.66107200866269,39.74668628080009,4.714474079600654
10.0085061,-28.9020383,0.107991,0.00015,136.78514659539098,40.60638873849485,35.41403966101367,4.200565824689868
10.8261918,-28.6668646,0.111871,0.00015,1187.087417470144,40.60638873849485,17.17684472725745,2.0373972477574376
10.836898,-28.6197671,0.1054,0.000297,-564.5893853212326,80.40064970221982,16.620496530272142,1.9714071137525608
11.7835985,-28.4804624,0.109509,0.000183,547.7023752520581,49.53979426096372,65.84722985702594,7.810338104195942
9.6324942,-28.135676,0.1091,0.000213,436.98752247170586,57.66107200866269,53.42805666137813,6.337262595276455
10.1958137,-28.6369702,0.1118,0.000213,1167.8679686989817,57.66107200866269,18.937988834212117,2.246291850543229
10.6337886,-28.6928203,0.1107,0.000213,870.1018609767603,57.66107200866269,10.729702594569162,1.2726823163710024
10.268758,-29.037573,0.108615,0.00015,305.69973861236167,40.60638873849485,33.2313211347806,3.941667011282099
10.8224983,-28.53112,0.1064,0.000213,-293.892923755574,57.66107200866269,15.088779681334628,1.7897255685141151
11.5910627,-28.9854566,0.1075,0.000213,3.8731839666512777,57.66107200866269,61.690524413561846,7.31729876171338
11.0267001,-28.6682392,0.1069,0.000297,-158.54469297274466,80.40064970221982,27.02778869318401,3.205847358512794
10.6415937,-28.0056659,0.1069,0.000213,-158.54469297274466,57.66107200866269,32.291021257035,3.830135212898578
9.8855,-27.69,0.108,0.000213,139.2214147494806,57.66107200866269,61.33114515958395,7.274671706827462
10.3109336,-28.2935222,0.1104,0.000213,788.8929225070606,57.66107200866269,18.781812690080425,2.227767328067088
11.0107245,-27.8965169,0.104982004,0.000213000007,-677.7394234698288,57.6610739036275,45.83010370251256,5.436046528368757
10.0142541,-28.3936669,0.1118,0.000213,1167.8679686989817,57.66107200866269,28.82646504588746,3.4191937739222023
11.4419651,-28.7506056,0.1087,0.000213,328.70893784544313,57.66107200866269,49.40059104510034,5.859552777650816
11.4378537,-28.7664069,0.1069,0.000213,-158.54469297274466,57.66107200866269,49.44505138325228,5.864826352164847
10.6142547,-28.0542883,0.106587,0.00015,-243.27268544279403,40.60638873849485,29.182768244841967,3.4614559686642394
9.6864331,-28.1955395,0.1103,0.000297,761.8232763504939,80.40064970221982,49.2956122400933,5.847100925649452
11.7561587,-28.340694,0.1097,0.000297,599.4053994111017,80.40064970221982,65.41520867783568,7.759094771940723
10.7093175,-28.6473158,0.1055,0.000297,-537.519739164666,80.40064970221982,11.307258011968484,1.3411879026134796
10.7528281,-28.5799369,0.1049,0.000297,-699.9376161040618,80.40064970221982,11.71430883064311,1.3894694252582682
10.7434443,-28.2059556,0.1077,0.000213,58.0124762797845,57.66107200866269,22.61111775449797,2.6819727262615207
10.3050072,-29.0719154,0.109007001,0.000213000007,411.8130222425621,57.6610739036275,34.388777276295485,4.078956367654997
10.4657552,-28.5202402,0.1036,0.000213,-1051.8430161394167,57.66107200866269,3.8341674485254753,0.454782140207087
10.4492475,-27.7276318,0.105517998,0.000213000007,-532.6477442494058,57.6610739036275,48.70836370381048,5.77744560940423
10.6021612,-28.0803927,0.1069,0.000213,-158.54469297274466,57.66107200866269,27.54503367572788,3.2671993425695
11.2417634,-28.7190184,0.1089,0.000297,382.8482301585726,80.40064970221982,38.74553907878925,4.595724996962669
11.62377,-28.82854,0.1074,0.000213,-23.196462189915337,57.66107200866269,59.8758175530874,7.102050919532559
10.5021654,-28.0258669,0.108,0.000213,139.2214147494806,57.66107200866269,30.64909991294713,3.635381980823868
11.615223,-28.3751925,0.1108,0.000213,897.1715071333233,57.66107200866269,57.72434294992917,6.846858041870998
10.9525324,-28.4762492,0.105,0.000213,-672.8679699474952,57.66107200866269,22.23522313581933,2.637386734264551
9.83954166667,-28.86608333333,0.1108,0.000213,897.1715071333233,57.66107200866269,41.68132815161045,4.943947774308417
9.9397662,-28.9378854,0.111210003,0.000213000007,1008.1578684646294,57.6610739036275,39.58476449407218,4.695268049164349
10.9728453,-28.7061366,0.1083,0.000213,220.43035321917668,57.66107200866269,25.16129926875752,2.9844574305791505
10.7120898,-28.5789611,0.1102,0.000297,734.7536301939311,80.40064970221982,9.61932334662644,1.1409768920251957
10.1840448,-28.2158012,0.1064,0.000213,-293.892923755574,57.66107200866269,26.72905666997368,3.170413854189388
9.4263522,-28.0841158,0.106765002,0.000213000007,-195.08817389118465,57.6610739036275,64.5915452207712,7.661397570437902
10.6435067,-28.8060273,0.1094,0.000297,518.1964609414019,80.40064970221982,17.167806070386312,2.036325145463618
10.8674044,-28.6661817,0.1119,0.000213,1194.9376148555484,57.66107200866269,19.11605104176568,2.267412344869149
9.465711,-28.5285682,0.1074,0.000213,-23.196462189915337,57.66107200866269,56.43537090786134,6.693969188729192
10.5908657,-28.5607547,0.1071,0.000297,-104.40540065961142,80.40064970221982,3.2423036017656277,0.3845793880961539
10.6587336,-27.902188,0.1053,0.000297,-591.6590314777955,80.40064970221982,38.56382850675757,4.574171759146046
9.9647049,-27.641292,0.1081,0.000213,166.2910609060472,57.66107200866269,61.61114780686572,7.307883663504895
10.2317478,-27.9751372,0.1085,0.000213,274.5696455323099,57.66107200866269,37.29215740197819,4.423335022244142
10.8433199,-28.8246889,0.1088,0.000213,355.778584002006,57.66107200866269,23.698636254341185,2.810966568474569
10.7152724,-28.6434142,0.1059,0.000297,-429.24115453840324,80.40064970221982,11.427913394381576,1.3554992006404951
11.1272163,-29.0406688,0.1092,0.000297,464.0571686282724,80.40064970221982,43.39500872535208,5.147212584575701
10.2929317,-27.7059616,0.108291,0.000213000007,217.99408506508706,57.6610739036275,51.42880521684658,6.100125364583561
10.0723626,-28.8015644,0.111204997,0.000213000007,1006.8027619780312,57.6610739036275,29.1682659849728,3.4597358119758104
9.6794742,-28.0532381,0.108328998,0.000213000007,228.28000921165824,57.6610739036275,53.734648336046426,6.373628356513342
10.9441985,-28.746857,0.11,0.000297,680.6143378807977,80.40064970221982,24.93426695035267,2.957528444026922
10.5983607,-28.3420075,0.1076,0.000297,30.942830123217895,80.40064970221982,12.079772128569765,1.4328181269072124
10.6367411,-28.515877,0.109838001,0.000213000007,636.7617818036239,57.6610739036275,5.428122807759009,0.6438459824619582
9.680371,-28.7103619,0.1113,0.000297,1032.5197379161527,80.40064970221982,46.280164581556726,5.489429603715116
9.378685,-28.5645188,0.1075,0.000213,3.8731839666512777,57.66107200866269,61.034965022228256,7.239540889365315
10.7994507,-28.6452698,0.1051,0.000213,-645.7983237909286,57.66107200866269,15.340948610904055,1.819636084166586
9.5231683,-29.0807877,0.109617002,0.000213000007,576.938134494075,57.6610739036275,62.500415249976925,7.413362351231517
10.4059282,-27.979047,0.1065,0.000297,-266.8232775990073,80.40064970221982,34.10834337009229,4.045693258058996
10.4782799,-28.5312672,0.1097,0.000213,599.4053994111017,57.66107200866269,3.0704393337000675,0.3641940500259455
10.554401,-28.6161627,0.107060999,0.000213000007,-114.96283335713281,57.6610739036275,4.915185319628242,0.5830049232812308
10.0684765,-28.8578491,0.1076,0.000213,30.942830123217895,57.66107200866269,31.29858854668575,3.7124197823433134
9.4671448,-28.5221269,0.1074,0.000297,-23.196462189915337,80.40064970221982,56.36581642411923,6.685719122084502
9.8443112,-29.2146979,0.106964998,0.000296999991,-140.94996436389712,80.40064726583648,54.59920375457544,6.476175876632076
10.1374227,-28.011234,0.1069,0.000213,-158.54469297274466,57.66107200866269,37.87954909784677,4.49300731907868
10.4047598,-28.4422815,0.106022999,0.000296999991,-395.9457604622855,80.40064726583648,8.922019586633361,1.05826759447846
10.2867164,-27.7974473,0.1083,0.000213,220.43035321917668,57.66107200866269,46.22631346059078,5.483042160189438
10.5013723,-28.4013743,0.1114,0.000213,1059.5893840727192,57.66107200866269,8.273261492068219,0.981316444408978
10.3449705,-27.5594787,0.107878998,0.000296999991,106.46660150711413,80.40064726583648,59.44893195077144,7.0514167335062
9.8877362,-28.6913678,0.110854998,0.000296999991,912.0592711265114,80.40064726583648,35.41344910177254,4.200495776680957
10.6016854,-28.5050281,0.106418997,0.000296999991,-288.7505030752093,80.40064726583648,3.910366792182684,0.4638203736843775
10.8424579,-28.5680686,0.1056,0.000297,-510.4500930080993,80.40064970221982,16.251195271129692,1.927603179973256
9.3008537,-28.7977992,0.111047998,0.000296999991,964.3036882086833,80.40064726583648,66.91299884411134,7.936752171244432
10.9978827,-27.8321992,0.1082,0.000213,193.3607070626138,57.66107200866269,48.7656904580693,5.784245308254884
11.5173566,-29.1438221,0.1077,0.000297,58.0124762797845,80.40064970221982,63.16275330776891,7.491924261608981
10.2709025,-28.8137501,0.1085,0.000213,274.5696455323099,57.66107200866269,21.755643580706824,2.580502359911651
10.531625,-28.975475,0.1123,0.000297,1303.2161994818111,80.40064970221982,26.381646095616283,3.1292064404136566
10.4640006,-28.6246064,0.1068,0.000297,-185.6143391293075,80.40064970221982,6.550039244619443,0.7769198675070983
10.1879493,-28.9649924,0.1098,0.000297,626.4750455676646,80.40064970221982,31.605753339613397,3.748853522861774
10.2960969,-28.4977307,0.1083,0.000297,220.43035321917668,80.40064970221982,12.868009595219515,1.526313345070479
11.4231177,-28.751172,0.1071,0.000297,-104.40540065961142,80.40064970221982,48.45213952995456,5.747054089022457
10.7471474,-28.5710756,0.111,0.000297,951.3107994464565,80.40064970221982,11.311914760748206,1.3417402536009837
10.2309728,-27.5399623,0.11,0.000213,680.6143378807977,57.66107200866269,61.8994101356222,7.342075325860008
9.7758441,-29.0332203,0.1094,0.000213,518.1964609414019,57.66107200866269,49.89861984885575,5.9186254729092775
10.383498,-28.4948324,0.1062,0.000297,-348.0322160687034,80.40064970221982,8.422591654555262,0.9990289443988902
11.5288297,-28.7426104,0.1085,0.000213,274.5696455323099,57.66107200866269,53.71852866095109,6.371716353337237
10.6396627,-28.6665637,0.1106,0.000297,843.0322148201938,80.40064970221982,9.550115508127972,1.132767942016102
10.5202155,-28.486904,0.105,0.000213,-672.8679699474952,57.66107200866269,3.053866477296095,0.3622282936509489
10.2451738,-27.6117106,0.108543001,0.000296999991,286.209864076095,80.40064726583648,57.547547622674735,6.8258878160301055
10.1218064,-28.0397566,0.1101,0.00041,707.6839840373644,110.99079588521928,36.95133446660226,4.382908988153865
